Fitness_function	configuration	fitness	sd	avg.Biomass	avg.Yield	endCycle
MaxYieldNew_MinTime	-4.0,-16.0,-7.0,-2.0,0.0,-2.0,0.5,2.3	0.692716	0.00012575987731925904	1.004119	0.546259	126
MaxYieldNew_MinTime	-8.0,-18.0,-7.0,-8.0,-2.0,-3.0,8.2,8.5	0.69221	0.00103204538292354	0.885924	0.480652	100
MaxYieldNew_MinTime	-16.0,-14.0,-7.0,-10.0,-6.0,-4.0,17.4,10.8	0.691503	0.0009356363261928721	0.785308	0.424803	78
MaxYieldNew_MinTime	-4.0,-18.0,-6.0,-2.0,-4.0,-7.0,1.7,-0.0	0.691225	0.003077161068391636	1.005399	0.54697	127
MaxYieldNew_MinTime	-4.0,0.0,-4.0,-18.0,-10.0,-7.0,4.0,19.0	0.691116	0.00024885569089637345	0.77096	0.416839	75
MaxYieldNew_MinTime	-18.0,-10.0,-7.0,-4.0,0.0,-4.0,19.0,4.0	0.690974	0.00024839218283349336	0.770652	0.416668	75
MaxYieldNew_MinTime	-10.0,-12.0,-4.0,-10.0,-8.0,-7.0,10.8,11.3	0.690844	0.0019060167493453446	0.842434	0.456512	91
MaxYieldNew_MinTime	-4.0,-10.0,-7.0,-2.0,-4.0,-3.0,0.5,1.2	0.690575	0.00010431078155782751	0.994986	0.54119	125
MaxYieldNew_MinTime	-2.0,-18.0,-3.0,-4.0,-14.0,-7.0,1.2,0.5	0.690538	0.0001682394803708388	0.994906	0.541146	125
MaxYieldNew_MinTime	-2.0,-14.0,-3.0,-4.0,-14.0,-7.0,1.2,0.5	0.690381	6.392868919883887e-05	0.994566	0.540957	125
MaxYieldNew_MinTime	-2.0,-14.0,-3.0,-4.0,-16.0,-7.0,1.2,0.5	0.690322	0.0002715631267838389	0.994438	0.540886	125
MaxYieldNew_MinTime	-18.0,-12.0,-7.0,-2.0,-10.0,-7.0,19.0,-3.6	0.690221	0.0003872483096434462	0.755513	0.408265	72
MaxYieldNew_MinTime	-18.0,-18.0,-7.0,-2.0,-14.0,-7.0,19.0,-3.6	0.690146	0.00023679365189621795	0.755352	0.408175	72
MaxYieldNew_MinTime	-8.0,-4.0,-3.0,-10.0,-8.0,-7.0,8.5,11.3	0.690134	6.016071599173634e-08	0.849908	0.460661	93
MaxYieldNew_MinTime	-16.0,-6.0,-7.0,-10.0,-14.0,-6.0,17.4,11.9	0.690014	0.004236717951718498	0.800105	0.433017	82
MaxYieldNew_MinTime	-4.0,-16.0,-6.0,-2.0,-4.0,-7.0,1.7,-0.0	0.689718	0.0008693362722668696	1.00214	0.545161	127
MaxYieldNew_MinTime	-20.0,-12.0,-7.0,-2.0,-10.0,-2.0,20.6,2.3	0.689506	3.582184157790111e-05	0.753969	0.407408	72
MaxYieldNew_MinTime	-4.0,-18.0,-6.0,-2.0,-14.0,-7.0,1.7,-3.6	0.688921	0.0015392236607756756	1.000418	0.544205	127
MaxYieldNew_MinTime	-4.0,-8.0,-6.0,-2.0,-4.0,-7.0,1.7,-0.0	0.688762	0.0025084253538698613	1.000074	0.544014	127
